Operator,Variance σ²,E_low (%),E_mid (%),E_high (%),Coherence C
AND  (x & y),0.02645,37.6,19.0,43.4,0.06571
OR   (x | y),0.04059,57.8,17.8,24.4,0.06304
XOR  (x ^ y),0.05103,53.5,15.9,30.6,0.08984
ADD  (x + y),0.03121,73.3,10.5,16.2,0.06123
MULTIPLY (x * y),0.02552,71.0,8.5,20.5,0.04777
HYBRID (x−y)⊕(x+y),0.04383,65.3,11.1,23.6,0.05958
